 Population by sex and age group
 of 5 years of age difference, starting
 from 0-4, 5-9 and so on 

 Total		Percentage /
14342522	0.85
15865960	0.23
18256413	0.09
16699748	0.11
14762014	0.45
13787635	1.47
13581269	2.27
12377887	2.96
10705423	3.85
9025922		4.86
8167782		5.37
6470780		6.36
4978709		7.36
3815137		8.07
2476037		8.20
1426043		8.53
757519		8.78
381996		9.43
185463		9.93
155734		10.85
