 Population by sex and age group
 of 5 years of age difference, starting
 from 0-4, 5-9 and so on 

Total		Percentage /
15061970	10.46
18173229	12.62
16646615	11.56
12861890	8.93
13299789	9.23
13479508	9.36
10499765	7.29
9556428		6.63
8261662		5.74
6380073		4.43
5552271		3.85
3500997		2.43
3934014		2.73
2113490		1.47
2231712		1.55
874727		0.61
880079		0.61
262611		0.18
250189		0.17
222678		0.15
